index,lat,lon
0,50.143228,8.674055
1,50.143176,8.673831
2,50.143157,8.67375
3,50.143026,8.673186
4,50.143002,8.673114
5,50.142945,8.673047
6,50.14292,8.672925
7,50.14289,8.672731
8,50.142863,8.672554
9,50.142833,8.672315
10,50.142773,8.671841
11,50.142769,8.671812
12,50.142761,8.671738
13,50.14261,8.670608
14,50.14257,8.670622
15,50.14232,8.670715
16,50.142025,8.670809
17,50.141962,8.670832
18,50.141785,8.670936
19,50.140842,8.671501
20,50.140398,8.671767
21,50.140352,8.671794
22,50.140326,8.671695
23,50.140297,8.671581
24,50.140028,8.670552
25,50.139889,8.670353
26,50.139857,8.670249
27,50.139824,8.670125
28,50.140036,8.670006
29,50.140066,8.669989
30,50.140464,8.669756
31,50.140806,8.669569
32,50.141051,8.669427
33,50.141428,8.669232
34,50.14167,8.669113
35,50.141849,8.669032
36,50.142002,8.668963
37,50.142174,8.668924
38,50.142342,8.668905
39,50.142483,8.668895
40,50.142518,8.668892
41,50.14278,8.668882
42,50.143118,8.66886
43,50.14354,8.66878
44,50.143643,8.668744
45,50.143735,8.668713
46,50.144075,8.668542
47,50.14459,8.668308
48,50.144636,8.668295
49,50.144703,8.66829
50,50.144822,8.668244
51,50.144842,8.668233
52,50.144979,8.66813
53,50.145006,8.668114
54,50.145346,8.667965
55,50.145822,8.667743
56,50.14663,8.667376
57,50.146878,8.667265
58,50.146927,8.667243
59,50.147034,8.667177
60,50.147114,8.667128
61,50.147193,8.667078
62,50.147591,8.666803
63,50.147854,8.666569
64,50.147942,8.666483
65,50.147991,8.666432
66,50.148068,8.666348
67,50.148191,8.666209
68,50.148476,8.665885
69,50.149054,8.66527
70,50.149075,8.665248
71,50.149095,8.665226
72,50.149413,8.66484
73,50.149792,8.664442
74,50.149854,8.664377
75,50.150334,8.66385
76,50.150438,8.663748
77,50.150506,8.663678
78,50.150604,8.663589
79,50.150629,8.663564
80,50.150657,8.663536
81,50.151087,8.663145
82,50.151632,8.662674
83,50.151902,8.662425
84,50.151987,8.662345
85,50.152012,8.662321
86,50.152037,8.662297
87,50.15221,8.662111
88,50.152692,8.661564
89,50.152953,8.661254
90,50.152985,8.661216
91,50.152996,8.661202
92,50.153045,8.661136
93,50.153102,8.66106
94,50.153224,8.660902
95,50.153365,8.660731
96,50.153467,8.66064
97,50.153636,8.660479
98,50.153825,8.660274
99,50.153964,8.660132
100,50.154072,8.660005
101,50.154103,8.659967
102,50.154124,8.659943
103,50.154227,8.659808
104,50.155057,8.658852
105,50.15564,8.658249
106,50.155661,8.658226
107,50.155964,8.657899
108,50.155994,8.657866
109,50.156138,8.657699
110,50.156138,8.657699
