index,lat,lon
0,50.142873,8.668876
1,50.143118,8.66886
2,50.14354,8.66878
3,50.143643,8.668744
4,50.143735,8.668713
5,50.144075,8.668542
6,50.14459,8.668308
7,50.144636,8.668295
8,50.144703,8.66829
9,50.144822,8.668244
10,50.144842,8.668233
11,50.144979,8.66813
12,50.145006,8.668114
13,50.145346,8.667965
14,50.145822,8.667743
15,50.14663,8.667376
16,50.146878,8.667265
17,50.146927,8.667243
18,50.147034,8.667177
19,50.147114,8.667128
20,50.147193,8.667078
21,50.147591,8.666803
22,50.147854,8.666569
23,50.147942,8.666483
24,50.147991,8.666432
25,50.148068,8.666348
26,50.148191,8.666209
27,50.148476,8.665885
28,50.149054,8.66527
29,50.149075,8.665248
30,50.149095,8.665226
31,50.149413,8.66484
32,50.149792,8.664442
33,50.149854,8.664377
34,50.150334,8.66385
35,50.150438,8.663748
36,50.150506,8.663678
37,50.150604,8.663589
38,50.150629,8.663564
39,50.150657,8.663536
40,50.151087,8.663145
41,50.151632,8.662674
42,50.151902,8.662425
43,50.151987,8.662345
44,50.152012,8.662321
45,50.152037,8.662297
46,50.15221,8.662111
47,50.152692,8.661564
48,50.152953,8.661254
49,50.152985,8.661216
50,50.152996,8.661202
51,50.153045,8.661136
52,50.153102,8.66106
53,50.153224,8.660902
54,50.153365,8.660731
55,50.153467,8.66064
56,50.153636,8.660479
57,50.153825,8.660274
58,50.153964,8.660132
59,50.154072,8.660005
60,50.154103,8.659967
61,50.154124,8.659943
62,50.154227,8.659808
63,50.155057,8.658852
64,50.15564,8.658249
65,50.155661,8.658226
66,50.155964,8.657899
67,50.155994,8.657866
68,50.156099,8.657745
