index,lat,lon
0,50.142771,8.671828
1,50.142769,8.671812
2,50.142761,8.671738
3,50.14261,8.670608
4,50.14257,8.670622
5,50.14232,8.670715
6,50.142025,8.670809
7,50.141962,8.670832
8,50.141785,8.670936
9,50.140842,8.671501
10,50.140398,8.671767
11,50.140352,8.671794
12,50.140326,8.671695
13,50.140297,8.671581
14,50.140028,8.670552
15,50.139889,8.670353
16,50.139857,8.670249
17,50.139824,8.670125
18,50.140036,8.670006
19,50.140066,8.669989
20,50.140464,8.669756
21,50.140806,8.669569
22,50.141051,8.669427
23,50.141428,8.669232
24,50.14167,8.669113
25,50.141849,8.669032
26,50.142002,8.668963
27,50.142174,8.668924
28,50.142342,8.668905
29,50.142483,8.668895
30,50.142518,8.668892
31,50.14278,8.668882
32,50.143118,8.66886
33,50.14354,8.66878
34,50.143643,8.668744
35,50.143735,8.668713
36,50.144075,8.668542
37,50.14459,8.668308
38,50.144636,8.668295
39,50.144703,8.66829
40,50.144822,8.668244
41,50.144842,8.668233
42,50.144979,8.66813
43,50.145006,8.668114
44,50.145346,8.667965
45,50.145822,8.667743
46,50.14663,8.667376
47,50.146878,8.667265
48,50.146927,8.667243
49,50.147034,8.667177
50,50.147114,8.667128
51,50.147193,8.667078
52,50.147591,8.666803
53,50.147854,8.666569
54,50.147942,8.666483
55,50.147991,8.666432
56,50.148068,8.666348
57,50.148191,8.666209
58,50.148476,8.665885
59,50.149054,8.66527
60,50.149075,8.665248
61,50.149095,8.665226
62,50.149413,8.66484
63,50.149792,8.664442
64,50.149854,8.664377
65,50.150334,8.66385
66,50.150438,8.663748
67,50.150506,8.663678
68,50.150604,8.663589
69,50.150629,8.663564
70,50.150657,8.663536
71,50.151087,8.663145
72,50.151632,8.662674
73,50.151902,8.662425
74,50.151987,8.662345
75,50.152012,8.662321
76,50.152037,8.662297
77,50.15221,8.662111
78,50.152692,8.661564
79,50.152953,8.661254
80,50.152985,8.661216
81,50.152996,8.661202
82,50.153045,8.661136
83,50.153102,8.66106
84,50.153224,8.660902
85,50.153365,8.660731
86,50.153467,8.66064
87,50.153636,8.660479
88,50.153825,8.660274
89,50.153964,8.660132
90,50.154072,8.660005
91,50.154103,8.659967
92,50.154124,8.659943
93,50.154227,8.659808
94,50.155057,8.658852
95,50.15564,8.658249
96,50.155661,8.658226
97,50.155964,8.657899
98,50.155994,8.657866
99,50.156138,8.657699
100,50.156138,8.657699
